00:00:00:00:00:00,96,0,0,1,01:35:09.999
00:00:00:00:00:00,96,0,0,1,01:35:10.507
00:00:00:00:00:00,96,0,0,1,01:35:11.011
00:00:00:00:00:00,96,0,0,1,01:35:11.515
00:00:00:00:00:00,96,0,0,1,01:35:12.019
00:00:00:00:00:00,96,0,0,1,01:35:12.523
00:00:00:00:00:00,96,0,0,1,01:35:13.027
00:00:00:00:00:00,96,0,0,1,01:35:13.531
00:00:00:00:00:00,96,0,0,1,01:35:14.035
00:00:00:00:00:00,96,0,0,1,01:35:14.539
00:00:00:00:00:00,96,0,0,1,01:35:15.043
00:00:00:00:00:00,96,0,0,1,01:35:15.547
00:00:00:00:00:00,96,0,0,1,01:35:16.051
00:00:00:00:00:00,96,0,0,1,01:35:16.555
00:00:00:00:00:00,96,0,0,1,01:35:17.059
00:00:00:00:00:00,96,0,0,1,01:35:17.563
00:00:00:00:00:00,96,0,0,1,01:35:18.067
00:00:00:00:00:00,96,0,0,1,01:35:18.571
00:00:00:00:00:00,96,0,0,1,01:35:19.075
00:00:00:00:00:00,96,0,0,1,01:35:19.579
00:00:00:00:00:00,96,0,0,1,01:35:20.083
00:00:00:00:00:00,96,0,0,1,01:35:20.587
00:00:00:00:00:00,96,0,0,1,01:35:21.091
00:00:00:00:00:00,96,0,0,1,01:35:21.595
00:00:00:00:00:00,96,0,0,1,01:35:22.099
00:00:00:00:00:00,96,0,0,1,01:35:22.603
00:00:00:00:00:00,96,0,0,1,01:35:23.107
00:00:00:00:00:00,96,0,0,1,01:35:23.611
00:00:00:00:00:00,96,0,0,1,01:35:24.115
00:00:00:00:00:00,96,0,0,1,01:35:24.619
00:00:00:00:00:00,96,0,0,1,01:35:25.123
00:00:00:00:00:00,96,0,0,1,01:35:25.627
00:00:00:00:00:00,96,0,0,1,01:35:26.131
00:00:00:00:00:00,96,0,0,1,01:35:26.635
00:00:00:00:00:00,96,0,0,1,01:35:27.139
00:00:00:00:00:00,96,0,0,1,01:35:27.643
00:00:00:00:00:00,96,0,0,1,01:35:28.147
00:00:00:00:00:00,96,0,0,1,01:35:28.651
00:00:00:00:00:00,96,0,0,1,01:35:29.155
00:00:00:00:00:00,96,0,0,1,01:35:29.659
00:00:00:00:00:00,96,0,0,1,01:35:30.163
00:00:00:00:00:00,96,0,0,1,01:35:30.667
00:00:00:00:00:00,96,0,0,1,01:35:31.171
00:00:00:00:00:00,96,0,0,1,01:35:31.675
00:00:00:00:00:00,96,0,0,1,01:35:32.179
00:00:00:00:00:00,96,0,0,1,01:35:32.683
00:00:00:00:00:00,96,0,0,1,01:35:33.187
00:00:00:00:00:00,96,0,0,1,01:35:33.691
00:00:00:00:00:00,96,0,0,1,01:35:34.195
00:00:00:00:00:00,96,0,0,1,01:35:34.699
00:00:00:00:00:00,96,0,0,1,01:35:35.204
00:00:00:00:00:00,96,0,0,1,01:35:35.707
00:00:00:00:00:00,96,0,0,1,01:35:36.211
00:00:00:00:00:00,96,0,0,1,01:35:36.715
00:00:00:00:00:00,96,0,0,1,01:35:37.219
00:00:00:00:00:00,96,0,0,1,01:35:37.724
00:00:00:00:00:00,96,0,0,1,01:35:38.227
00:00:00:00:00:00,96,0,0,1,01:35:38.731
00:00:00:00:00:00,96,0,0,1,01:35:39.235
00:00:00:00:00:00,96,0,0,1,01:35:39.739
00:00:00:00:00:00,96,0,0,1,01:35:40.244
00:00:00:00:00:00,96,0,0,1,01:35:40.748
00:00:00:00:00:00,96,0,0,1,01:35:41.252
00:00:00:00:00:00,96,0,0,1,01:35:41.756
00:00:00:00:00:00,96,0,0,1,01:35:42.260
00:00:00:00:00:00,96,0,0,1,01:35:42.764
00:00:00:00:00:00,96,0,0,1,01:35:43.268
00:00:00:00:00:00,96,0,0,1,01:35:43.772
00:00:00:00:00:00,96,0,0,1,01:35:44.276
00:00:00:00:00:00,96,0,0,1,01:35:44.780
00:00:00:00:00:00,96,0,0,1,01:35:45.284
00:00:00:00:00:00,96,0,0,1,01:35:45.788
00:00:00:00:00:00,96,0,0,1,01:35:46.292
00:00:00:00:00:00,96,0,0,1,01:35:46.796
00:00:00:00:00:00,96,0,0,1,01:35:47.300
00:00:00:00:00:00,96,0,0,1,01:35:47.804
00:00:00:00:00:00,96,0,0,1,01:35:48.308
00:00:00:00:00:00,96,0,0,1,01:35:48.812
00:00:00:00:00:00,96,0,0,1,01:35:49.316
00:00:00:00:00:00,96,0,0,1,01:35:49.820
00:00:00:00:00:00,96,0,0,1,01:35:50.324
00:00:00:00:00:00,96,0,0,1,01:35:50.828
00:00:00:00:00:00,96,0,0,1,01:35:51.332
00:00:00:00:00:00,96,0,0,1,01:35:51.836
00:00:00:00:00:00,96,0,0,1,01:35:52.340
00:00:00:00:00:00,96,0,0,1,01:35:52.844
00:00:00:00:00:00,96,0,0,1,01:35:53.348
00:00:00:00:00:00,96,0,0,1,01:35:53.852
00:00:00:00:00:00,96,0,0,1,01:35:54.356
00:00:00:00:00:00,96,0,0,1,01:35:54.860
00:00:00:00:00:00,96,0,0,1,01:35:55.364
00:00:00:00:00:00,96,0,0,1,01:35:55.868
00:00:00:00:00:00,96,0,0,1,01:35:56.372
00:00:00:00:00:00,96,0,0,1,01:35:56.876
00:00:00:00:00:00,96,0,0,1,01:35:57.380
00:00:00:00:00:00,96,0,0,1,01:35:57.884
00:00:00:00:00:00,96,0,0,1,01:35:58.388
00:00:00:00:00:00,96,0,0,1,01:35:58.892
00:00:00:00:00:00,96,0,0,1,01:35:59.396
00:00:00:00:00:00,96,0,0,1,01:35:59.900
00:00:00:00:00:00,96,0,0,1,01:36:00.404
00:00:00:00:00:00,96,0,0,1,01:36:00.908
00:00:00:00:00:00,96,0,0,1,01:36:01.412
00:00:00:00:00:00,96,0,0,1,01:36:01.916
00:00:00:00:00:00,96,0,0,1,01:36:02.420
00:00:00:00:00:00,96,0,0,1,01:36:02.924
00:00:00:00:00:00,96,0,0,1,01:36:03.428
00:00:00:00:00:00,96,0,0,1,01:36:03.932
00:00:00:00:00:00,96,0,0,1,01:36:04.436
00:00:00:00:00:00,96,0,0,1,01:36:04.940
00:00:00:00:00:00,96,0,0,1,01:36:05.444
00:00:00:00:00:00,96,0,0,1,01:36:05.948
00:00:00:00:00:00,96,0,0,1,01:36:06.452
00:00:00:00:00:00,96,0,0,1,01:36:06.956
00:00:00:00:00:00,96,0,0,1,01:36:07.460
00:00:00:00:00:00,96,0,0,1,01:36:07.964
00:00:00:00:00:00,96,0,0,1,01:36:08.468
00:00:00:00:00:00,96,0,0,1,01:36:08.972
00:00:00:00:00:00,96,0,0,1,01:36:09.476
00:00:00:00:00:00,96,0,0,1,01:36:09.980
